c_personid,c_year,c_index_year
12912,1256,1235
12922,1265,1235
14728,1265,1235
15116,1265,1235
15117,1265,1235
15119,1265,1235
15121,1265,1235
15122,1265,1235
17459,1265,1235
17465,1265,1235
18110,1265,1235
18114,1265,1235
18213,1265,1235
18440,1256,1235
18600,1265,1235
18627,1265,1235
19073,1265,1235
19389,1265,1235
19521,1265,1235
20255,1265,1235
20256,1265,1235
20257,1265,1235
20336,1265,1235
20337,1265,1235
20567,1265,1235
20568,1265,1235
20570,1265,1235
20648,1265,1235
22219,1265,1235
22318,1265,1235
22829,1265,1235
24207,1265,1235
27812,1265,1235
27826,1265,1235
27828,1265,1235
25927,1265,1235
25991,1265,1235
25998,1265,1235
26671,1265,1235
27680,1265,1235
30446,1265,1235
33313,1271,1235
33318,1271,1235
33784,1265,1235
34869,1265,1235
42108,1262,1235
38518,1256,1235
38544,1265,1235
39586,1265,1235
39710,1265,1235
39974,1256,1235
40018,1265,1235
40395,1265,1235
41384,1256,1235
41399,1265,1235
41422,1265,1235
41453,1265,1235
41923,1265,1235
41992,1265,1235
47437,1265,1235
43632,1265,1235
45691,1265,1235
46458,1265,1235
51313,1256,1235
51397,1256,1235
51410,1265,1235
48000,1265,1235
48072,1256,1235
49135,1265,1235
49307,1265,1235
49926,0,1235
50051,1265,1235
50745,1265,1235
50825,1265,1235
50857,1265,1235
50979,1265,1235
52018,1265,1235
52076,1265,1235
52327,1265,1235
52439,1265,1235
101941,1265,1235
105007,1265,1235
105572,1265,1235
119517,1265,1235
120063,1265,1235
385009,1265,1235
385010,1265,1235
385011,1265,1235
385012,1265,1235
385013,1265,1235
385014,1265,1235
385015,1265,1235
385016,1265,1235
385018,1265,1235
385019,1265,1235
385020,1265,1235
385021,1265,1235
385022,1265,1235
385023,1265,1235
385024,1265,1235
